DIST,DISTNAME,REVDT,REVNAME
"01","THUCKALAY","01","KANYAKUMARI"
"02","KUZHITHURAI","01","KANYAKUMARI"
"03","NAGERCOIL","01","KANYAKUMARI"
"04","CHERANMAHDEVI","02","TIRUNELVELI"
"05","TENKASI","02","TIRUNELVELI"
"06","TIRUNELVELI","02","TIRUNELVELI"
"07","KOVILPATTI","03","TUTICORIN"
"08","TUTICORIN","03","TUTICORIN"
"09","PARAMAKKUDI","04","RAMANATHAPURAM"
"10","RAMANATHAPURAM","04","RAMANATHAPURAM"
"11","DEVAKOTTAI","05","SIVAGANGAI"
"12","SIVAGANGAI","05","SIVAGANGAI"
"13","ARUPPUKKOTTAI","06","VIRUDHU NAGAR"
"14","SRIVILLIPUTTUR","06","VIRUDHU NAGAR"
"15","VIRUDHUNAGAR","06","VIRUDHU NAGAR"
"16","UTHAMAPALAYAM","07","THENI"
"17","PERIYAKULAM","07","THENI"
"18","USILAMPATTI","08","MADURAI"
"19","MELUR","08","MADURAI"
"20","MADURAI","08","MADURAI"
"21","PALANI","09","DINDIGUL"
"22","DINDIGUL","09","DINDIGUL"
"23","GUDALUR","10","OOTY"
"24","COONUR","10","OOTY"
"26","POLLACHI","12","COIMBATORE"
"25","TIRUPPUR","11","TIRUPPUR"
"27","COIMBATORE","12","COIMBATORE"
"28","GOBICHETTIPALAYAM","13","ERODE"
"29","ERODE","13","ERODE"
"30","SANKAGIRI","14","SALEM"
"31","SALEM","14","SALEM"
"32","NAMAKKAL","15","NAMAKKAL"
"33","HOSUR","16","KRISHNAGIRI"
"34","KRISHNAGIRI","16","KRISHNAGIRI"
"35","DHARMAPURI","17","DHARMAPURI"
"36","ARANTHANGI","18","PUDUKOTTAI"
"37","PUDUKKOTTAI","18","PUDUKOTTAI"
"38","KARUR","19","KARUR"
"39","ARIYALUR","20","ARIYALUR"
"40","UDAYARPALAYAM","20","ARIYALUR"
"41","PERAMBALUR","21","PERAMBALUR"
"42","MUSIRI","22","TRICHY"
"43","LALGUDI","22","TRICHY"
"44","TRICHY","22","TRICHY"
"45","MAYILADUTHURAI","23","NAGAPATTINAM"
"46","NAGAPATTINAM","23","NAGAPATTINAM"
"47","TIRUVARUR","24","TIRUVARUR"
"48","PATTUKKOTTAI","25","THANJAVUR"
"49","KUMBAKONAM","25","THANJAVUR"
"50","THANJAVUR","25","THANJAVUR"
"51","KARAIKKAL","26","PUDUCHERRY"
"52","PUDUCHERRY","26","PUDUCHERRY"
"53","TINDIVANAM","27","VILLUPURAM"
"54","VILLUPURAM","27","VILLUPURAM"
"55","VIRUDHACHALAM","28","CUDDALORE"
"56","CUDDALORE","28","CUDDALORE"
"57","CHEYYAR","29","TIRUVANNAMALAI"
"58","TIRUVANNAMALAI","29","TIRUVANNAMALAI"
"59","TIRUPPATHUR","30","VELLORE"
"60","VELLORE","30","VELLORE"
"61","CHENGALPATTU","31","KANCHEEPURAM"
"62","KANCHEEPURAM","31","KANCHEEPURAM"
"63","PONNERI","32","TIRUVALLORE"
"64","TIRUVALLORE","32","TIRUVALLORE"
"65","CHENNAI SOUTH","33","CHENNAI"
"66","CHENNAI CENTRAL","33","CHENNAI"
"67","CHENNAI EAST","33","CHENNAI"
"68","CHENNAI NORTH","33","CHENNAI"
"69","VIJAYAWADA","69","ANDHRAPRADESH"
"70","DUBAI","70","DUBAI"
"71","MUMBAI","71","MAHARASHTRA"
